,date,Zomato IPO,PayTM IPO,nykaa IPO,West Bengal Election,google news,T20 World Cup,Omicron,Bipin Rawat Death,Independence Day,google news.1,Covid Second Wave,Taliban Takeover of Afghanistan,Air India Bid Tata Group,Neeraj Chopra,google news.2
0,2021-01-10,0.1,0.1,0.1,0.2,1.0,0.1,0.1,0.1,0.1,1.0,0.1,0.1,0.1,0.1,1.0
1,2021-01-17,0.1,0.1,0.1,0.2,1.0,0.1,0.1,0.1,1.0,1.0,0.1,0.1,0.1,0.1,1.0
2,2021-01-24,0.1,0.1,0.1,0.2,1.0,0.1,0.1,0.1,3.0,1.0,0.1,0.1,0.1,0.1,1.0
3,2021-01-31,0.1,0.1,0.1,0.2,1.0,0.1,0.1,0.1,0.1,1.0,0.1,0.1,0.1,0.1,1.0
4,2021-02-07,0.1,0.1,0.1,0.2,1.0,0.1,0.1,0.1,0.1,1.0,0.1,0.1,0.1,0.1,1.0
5,2021-02-14,0.1,0.1,0.1,0.6,1.0,0.1,0.1,0.1,0.1,1.0,0.1,0.1,0.1,0.1,1.0
6,2021-02-21,0.1,0.1,0.1,1.0,1.2,0.1,0.1,0.1,0.1,1.2,0.1,0.1,0.1,0.1,1.2
7,2021-02-28,0.1,0.1,0.1,0.6,1.0,0.1,0.1,0.1,0.1,1.0,0.1,0.1,0.1,0.1,1.0
8,2021-03-07,0.1,0.1,0.1,0.8,1.0,0.1,0.1,0.1,0.1,1.0,0.1,0.1,0.1,0.1,1.0
9,2021-03-14,0.1,0.1,0.1,0.8,1.0,1.0,0.1,0.1,0.1,1.0,0.1,0.1,0.1,0.1,1.0
10,2021-03-21,0.1,0.1,0.1,1.4,1.0,0.1,0.1,0.1,0.1,1.0,0.1,0.1,0.1,0.1,1.0
11,2021-03-28,0.1,0.1,0.1,1.8,1.2,0.1,0.1,0.1,0.1,1.2,0.1,0.1,0.1,0.1,1.2
12,2021-04-04,0.1,0.1,0.1,1.8,1.2,0.1,0.1,0.1,0.1,1.2,0.12,0.1,0.1,0.1,1.2
13,2021-04-11,0.1,0.1,0.1,1.4,1.4,0.1,0.1,0.1,0.1,1.4,0.23333333333333403,0.1,0.1,0.1,1.4
14,2021-04-18,0.1,0.1,0.1,1.2,1.4,0.1,0.1,0.1,0.1,1.4,0.35,0.1,0.1,0.1,1.4
15,2021-04-25,0.2,0.1,0.1,1.8,1.4,0.1,0.1,0.1,0.1,1.4,0.43076923076923,0.1,0.1,0.1,1.4
16,2021-05-02,0.2,0.1,0.1,20.0,1.4,0.7,0.1,0.1,0.1,1.4,0.323076923076924,0.1,0.1,0.1,1.4
17,2021-05-09,0.2,0.1,0.1,0.4,1.4,0.1,0.1,0.1,0.1,1.4,0.21538461538461598,0.1,0.1,0.1,1.4
18,2021-05-16,0.1,0.1,0.1,0.2,1.4,1.4,0.1,0.1,0.1,1.4,0.23333333333333403,0.1,0.1,0.1,1.4
19,2021-05-23,0.1,0.1,0.1,0.2,1.2,0.1,0.1,0.1,0.1,1.2,0.10909090909090899,0.1,0.1,0.1,1.2
20,2021-05-30,0.1,0.2,0.1,0.2,1.2,0.1,0.1,0.1,0.1,1.2,0.12,0.1,0.1,0.1,1.2
21,2021-06-06,0.1,0.1,0.1,0.1,1.2,0.1,0.1,0.1,0.1,1.2,0.12,0.1,0.1,0.1,1.2
22,2021-06-13,0.1,0.1,0.1,0.1,1.0,0.1,0.1,0.1,0.1,1.0,0.1111111111111112,0.1,0.1,0.1,1.0
23,2021-06-20,0.1,0.1,0.1,0.1,1.0,1.0,0.1,0.1,0.1,1.0,0.1,0.1,0.1,0.1,1.0
24,2021-06-27,0.2,0.1,0.1,0.1,1.0,1.0,0.1,0.1,0.1,1.0,0.1,0.1,0.1,0.1,1.0
25,2021-07-04,1.0,0.1,0.1,0.1,1.0,0.1,0.1,0.1,1.0,1.0,0.1,0.1,0.1,0.1,1.0
26,2021-07-11,5.2,0.2,0.1,0.1,1.0,1.0,0.1,0.1,0.1,1.0,0.1,0.1,0.1,0.1,1.0
27,2021-07-18,4.4,0.2,0.1,0.1,1.0,1.0,0.1,0.1,1.0,1.0,0.1,0.1,0.1,0.125,1.0
28,2021-07-25,0.6,0.2,0.1,0.1,1.0,1.0,0.1,0.1,1.0,1.0,0.1,0.1,0.1,0.25,1.0
29,2021-08-01,0.4,0.1,0.1,0.1,0.8,0.8,0.1,0.1,2.4,0.8,0.1,0.1,0.1,10.0,0.8
30,2021-08-08,0.2,0.1,0.1,0.1,0.8,0.8,0.1,0.1,22.4,0.8,0.1,0.1,0.1,6.2,0.8
31,2021-08-15,0.2,0.1,0.1,0.1,1.0,2.0,0.1,0.1,44.0,1.0,0.1,0.1,0.1,1.333333333333334,1.0
